#separator:tab
#html:true
#columns:Front	Back	Tags
#tags column:3
What are the exact falsy values in JavaScript?	<p style="text-align:left">Seven, plus BigInt zero:</p><pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">false<br>0<br>-0<br>&quot;&quot;   (empty string)<br>null<br>undefined<br>NaN<br>0n</pre>	m1 falsy
Is <code>[]</code> truthy or falsy? <code>{}</code>? <code>"0"</code>? <code>"false"</code>? <code>-1</code>?	<p style="text-align:left"><b>All five are truthy.</b> Every object and every non-empty string is truthy, no matter what it contains. Only the seven falsy values are falsy.</p>	m1 falsy
What does this print, and why is it a bug?<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">const index = arr.findIndex(p =&gt; p.id === id);<br>if (!index) {<br>  return res.status(404).json({ error: &#x27;not found&#x27; });<br>}</pre>	<p style="text-align:left">Two failures at once:</p><p style="text-align:left">1. <b>Not found returns -1</b>, and <code>-1</code> is <b>truthy</b>, so <code>!index</code> is false and the 404 never fires.</p><p style="text-align:left">2. <b>A real match at index 0</b> gives <code>0</code>, which is <b>falsy</b>, so <code>!index</code> fires on a <i>successful</i> lookup.</p><p style="text-align:left"><b>Fix:</b> <code>if (index === -1)</code>. Always compare an index explicitly.</p>	m1 falsy trace
Why is this validation wrong?<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">if (!req.body.quantity) {<br>  return res.status(400).json({ error: &#x27;quantity required&#x27; });<br>}</pre>	<p style="text-align:left">It rejects <code>quantity === 0</code>, which is a legitimate value, because <code>0</code> is falsy. It also rejects <code>""</code> identically to a missing key, hiding the difference.</p><p style="text-align:left"><b>Fix:</b> <code>if (req.body.quantity === undefined)</code>, or check <code>typeof ... !== 'number'</code>.</p>	m1 falsy validation
Why does this always take the true branch?<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">// request: GET /api/products?inStock=false<br>if (req.query.inStock) {<br>  // filter to in-stock only<br>}</pre>	<p style="text-align:left"><code>req.query.inStock</code> is the <b>string</b> <code>"false"</code>, not the boolean <code>false</code>. A non-empty string is truthy, so the branch always runs.</p><p style="text-align:left"><b>Fix:</b> <code>if (req.query.inStock === 'true')</code>. Never use <code>Boolean(v)</code> on a query value — <code>Boolean("false") === true</code>.</p>	m1 m4 falsy query
Non-mutating vs mutating array methods — name the members of each group.	<table style="margin:auto"><tr><th>Non-mutating (returns new)</th><th>Mutating (changes original)</th></tr><tr><td><code>.map() .filter() .reduce()<br>.slice() .concat()<br>.find() .findIndex()<br>.toSorted()</code></td><td><code>.push() .pop()<br>.shift() .unshift()<br>.splice() .sort() .reverse()</code></td></tr></table>	m1 arrays
Return value of each: <code>.push()</code>, <code>.pop()</code>, <code>.splice(i,n)</code>, <code>.find()</code>, <code>.findIndex()</code>	<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">.push() / .unshift()  -&gt; the new LENGTH (a number)<br>.pop()  / .shift()    -&gt; the REMOVED ELEMENT<br>.splice(i, n)         -&gt; an ARRAY of removed elements<br>                         (always an array, even for one item)<br>.find()               -&gt; the ELEMENT, or undefined<br>.findIndex()          -&gt; the INDEX, or -1</pre>	m1 arrays
What is wrong here?<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">const prices = [10, 20, 30];<br>prices.map(p =&gt; p * 2);<br>console.log(prices);</pre>	<p style="text-align:left">Prints <code>[10, 20, 30]</code>, unchanged. <code>.map()</code> returns a <b>new</b> array and leaves the original alone; calling it as a bare statement throws the result away.</p><p style="text-align:left"><b>Fix:</b> <code>const doubled = prices.map(p => p * 2);</code></p>	m1 arrays
What is wrong here?<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">const sorted = arr.push(4);</pre>	<p style="text-align:left"><code>sorted</code> is <b>4</b> — the new length of the array, not the array. This is the mirror image of discarding a <code>.map()</code>: assigning the result of a <i>mutating</i> method usually gives you a number, not data.</p>	m1 arrays
What is wrong here?<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">const user = users.filter(u =&gt; u.id === id);<br>res.json(user.name);</pre>	<p style="text-align:left"><code>.filter()</code> returns an <b>array</b> (possibly empty), so <code>user.name</code> is <code>undefined</code>.</p><p style="text-align:left"><b>Fix:</b> <code>.find()</code> — it returns the element itself, or <code>undefined</code>.</p>	m1 arrays
<code>slice</code> vs <code>splice</code>: what does each argument mean, what is returned, and which mutates?	<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">arr.slice(start, end)    // end is an INDEX (exclusive)<br>  - does NOT mutate<br>  - returns a COPY of that range<br><br>arr.splice(start, count) // count is a NUMBER OF ITEMS<br>  - MUTATES arr in place<br>  - returns an ARRAY of what it removed</pre><p style="text-align:left"><code>arr.slice(2, 1)</code> is backwards (end before start) and returns <code>[]</code>.</p>	m1 m4 arrays
Explain line by line:<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">const [removed] = posts.splice(index, 1);</pre>	<p style="text-align:left"><b>Right side:</b> <code>posts.splice(index, 1)</code> deletes 1 element from <code>posts</code> <i>in place</i> and returns an array of what it deleted, e.g. <code>[{id:2,...}]</code>.</p><p style="text-align:left"><b>Left side:</b> <code>const [removed] = ...</code> is array destructuring. The brackets are a <i>pattern</i>, not a new array — they mean "bind element 0 to the name <code>removed</code>".</p><p style="text-align:left">Equivalent longhand:</p><pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">const result  = posts.splice(index, 1);  // [ {id:2,...} ]<br>const removed = result[0];               //   {id:2,...}</pre>	m1 m4 destructuring
Object destructuring vs array destructuring — what does each match on?	<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">const { name, price } = req.body;  // by KEY NAME<br>const [first, second] = arr;       // by POSITION</pre><p style="text-align:left">Curly braces match property names. Square brackets match index positions. The names in <code>[ ]</code> are yours to choose; the names in <code>{ }</code> must match the keys unless you rename.</p>	m1 destructuring
What do these three destructuring forms do?<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">const { name = &#x27;Unknown&#x27; } = req.body;<br>const { id: productId } = req.params;<br>const { a } = null;</pre>	<p style="text-align:left">1. <b>Default</b> — applies <i>only</i> when the value is <code>undefined</code>. An empty string or <code>null</code> does not trigger it.</p><p style="text-align:left">2. <b>Rename</b> — reads <code>req.params.id</code>, binds it to <code>productId</code>.</p><p style="text-align:left">3. <b>Throws</b> <code>TypeError</code>. Destructuring a missing <i>property</i> gives <code>undefined</code>, but destructuring <i>from</i> <code>null</code>/<code>undefined</code> throws.</p>	m1 destructuring
Spread vs rest — both are <code>...</code>. What is the difference?	<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">// SPREAD expands<br>Math.max(...[1,2,3])          // 3   (Math.max([1,2,3]) is NaN)<br>const copy   = { ...original };  // SHALLOW copy<br>const merged = { ...a, ...b };   // later keys win<br><br>// REST collects<br>function f(...args) { }       // args is an array<br>const [head, ...tail] = arr;</pre>	m1 spread
Why is <code>obj.key</code> wrong here?<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">const key = &#x27;price&#x27;;<br>obj.key<br>obj[key]</pre>	<p style="text-align:left"><code>obj.key</code> looks for a property literally named <code>"key"</code> and gives <code>undefined</code>. <code>obj[key]</code> looks up the property named by the <i>value</i> of <code>key</code>, i.e. <code>obj.price</code>.</p>	m1 objects
<code>var</code> vs <code>let</code> vs <code>const</code> — scope, hoisting, reassignment.	<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">var    - FUNCTION-scoped, hoisted and initialized to undefined,<br>         can be redeclared<br>let    - BLOCK-scoped { }, hoisted but in the temporal dead zone<br>const  - BLOCK-scoped, same TDZ, cannot be REASSIGNED</pre><p style="text-align:left"><b>Temporal dead zone (TDZ):</b> the binding exists from the top of the block but reading it before its declaration line throws <code>ReferenceError: Cannot access 'x' before initialization</code>.</p>	m1 scope
